වචනය,"සමාන පදමාලාව"
"අකුල ","1. [නා.] අවුල; අවහිරය; බාධාව. <br>2. [නා.] කුඩා ගස්වැල් ආදියෙන් ගහණ වූ ස්ථානය; ළැහැබ. <br>3. [නා.] රිකිලි ගහණ වූ අත්ත."
"අකුලෙ ගහනවා ","(කථා.) [ක්‍රි.] (මළ මිනියක්) වළ දමනවා; භූමදාන කරනවා."
"අකුල් හෙළනවා ","[ක්‍රි.] අවහිර කරනවා; බාධා කරනවා; වළක්වනවා."
"අකුව ","1. [නා.] අකු ඇටය. <br>2. [නා.] හනුව. <br>3. [නා.] කූර; උල."
"අකුශල, අකුසල ","1. [වි.] අදක්ෂ; අසමත්. <br>2. [වි.] කුසල් නොවූ; පාපකර."
"අකුශල කර්ම පථය ","[නා.] අපායගාමී වීමට හේතු වන පව."
"අකුශල කර්මය ","[නා.] පව; පාප ක්‍රියාව; පාප සිතිවිල්ල."
"අකුශලය, අකුසලය ","[නා.] කුසල් නොවූව; පාපය."
"අකුස ","[නා.] හෙණ්ඩුව; අංකුසය."
"අකුසල මූලය ","[නා.] පවට මුල් වූ කාරණය; අකුශල හේතුව."
"අකුස්ස ","1. [නා.] අලි ඇතුන් මෙහෙයවන උපකරණය; හෙණ්ඩුව. <br>2. [නා.] ටික; ස්වල්පය; අල්පමාත්‍රය."
"අකුළනවා ","1. [ක්‍රි.] දිගහැර ඇති පැදුරු ආදිය දිගැටි බෙර හැඩයට ඔතා කැටි කරනවා; කඹ ආදිය වළලු ගසනවා; ඔතනවා; වකුටු කරනවා. <br>2. [ක්‍රි.] පොත්, ඇස් පිහාටු ආදිය වහනවා. <br>3. [ක්‍රි.] වැනූ ධාන්‍යාදිය නැවත එකට එකතු කරනවා."
"අකෘත ","[වි.]  නොකළ; නොකරන ලද. <br> [නා.ප්‍ර.] නිර්වාණය."
"අකෘතඥ ","[වි.]  කෙළෙහිගුණ නොදත්; කළගුණ නොසලකන; ගුණමකු."
"අකෘතඥයා ","[නා.] කෙළෙහිගුණ නොදත් තැනැත්තා; කළගුණ නොසලකන්නා; ගුණමකුවා."
"අකෘත්‍යය ","[නා.] වරද; නොකටයුත්ත."
"අකෙව් ","1. [නා.ප්‍ර.] වැළැකීම; ප්‍රතික්ෂේපය. <br>2. [නා.ප්‍ර.] ආක්ෂේප නම් කාව්‍යාලංකාරය."
"අකොව ","[නා.] ක්‍රෝධ නැති බව; අක්‍රෝධය."
"අකොස ","[නා.] නින්දා කොට බැණීම; ගර්හාව; ආක්‍රෝශය."
"අකෝණික රේඛාව","(පාරිභා.) [නා.] කෝණ රහිත ඉර; චුම්බක විචලන නැති රේඛාව (=agonic-line)."
"අකෝලිතයා ","(රෝ.ක.) [නා.] දිව්‍ය පූජා මෙහෙයෙහි දී සහාය වන්නා; පරිවාසනයා."
"අකෝවිද ","[වි.]  නූගත්; අදක්ෂ."
"අකෞශල්‍යය ","[නා.] කුශලතාවෙන් තොරබව."
"අක් [","නා.ප්‍ර.] අග; කෙළවර; මුදුන."
"අක්උවටා ","[නා.ප්‍ර.] බුදුරජාණන් වහන්සේට උපස්ථාන කරන්නවුන් ගෙන් අගතැන්පත් තැනැත්තා; අග්‍රෝපස්ථායකයා."
"අක්කණ්ඩි ","1. [නා.] වැඩිමහල් සහෝදරිය; අක්කා. <br>2. [නා.] තමාට වඩා වැඩිමහල් ස්ත්‍රිය."
"අක්කමාව ","[නා.] පැකිලීම; පසුබෑම; අක්ෂමාව."
"අක්කම්මා ","(කථා.) [නා.] මව ගේ වැඩිමහල් සොහොයුරිය; ලොකු අම්මා; මහම්මා."
"අක්කර ","[නා.ප්‍ර.] අක්කරය බ."
"අක්කර ඉඩම ","[නා.] ආණ්ඩුවෙන් මැන බේරුම් කළ ඉඩම; අක්කර වශයෙන් ආණ්ඩුවෙන් මිලට ගන්නා ඉඩම."
"අක්කර බද්ද","ඉඩම් අයිතිකරුවන්ගෙන් ඉඩම් භුක්තිය වෙනුවෙන් අය කරන වාර්ෂික බදු මුදල."
"අක්කරමාව ","( කථා) [නා.] අකුරක ප්‍රමාණය; ඉතා ස්වල්පය අක්ෂර මාත්‍රය."
"අක්කරම්, අක්කාරම් ","[නා.ප්‍ර.] කුඩා දරුවන් ගේ දිවෙහි බැඳෙන සුදු හෝ කළු මැලියම් සහ එය ලක්ෂණ කොට ඇති රෝගය; උල්ලෝගම්."
"අක්කරය ","[නා.] වර්ග යාර 4840 ක හෙවත් රූඩ් හතරක හෙවත් පර්චස් එකසිය හැටක බිම් ප්‍රමාණය; හෙක්ටයාර් 0.405 ක ක්ෂේත්‍රඵලය."
"අක්කල් ","[වි.]  දුර්වල; පිරිහුණු."
"අක්කල් කැස්ස ","[නා.] කක්කල් කැස්ස. හුස්ම ගැන්මට අපහසු වන තෙක් දැඩි කැස්සක් ඇති කරන රෝගය."
"අක්කස්ස ","[නා.] කුඹුර; කෙත."
"අක්කා ","1. [නා.] වැඩිමහල් සහෝදරිය; දෙටු සොහොයුරිය. <br>2. (කථා.) තමාට වැඩිමහල් ස්ත්‍රිය."
"අක්කැත්ත ","1. [නා.] අග කොටස; අන්තිම කෙළවර. <br>2. [නා.] යුෂ සඳහා කිතුල් මලක් හෝ පොල් මලක් අවසාන වරට කැපීම. <br>3. [නා.] කුඩා කැත්ත."
"අක්කැමියා ","[නා.] අගය නියම කරන්නා; තක්සේරුකරු."
"අක්කියාළ ","(කථා.) [නා.] ගොයම් කපා පළමුවෙන් ම බුදුන් වහන්සේට හෝ දෙවියන්ට හෝ වෙන් කරන කොටස."
"අක්කෝසය ","[නා.] පරිභවය; ආක්‍රෝශය."
"අක්කෝසකයා ","[නා.] ගරහන්නා; පරිභව කරන්නා."
"අක්කෝසනය ","[නා.] ගැරහීම; පරිභව කිරීම."
"අක්ඛ ","1. [නා.ප්‍ර.] රථයක අලවංගුව; අක්ෂය. <br>2. [නා.ප්‍ර.] දූ කෙළිය; දූ කෙළියේ දී භාවිත කරන දාදු කැටය. <br>3. [නා.ප්‍ර.] විනිශ්චය ශාලාව."
"අක්ඛ ධූර්තයා ","[නා.] දූ කෙළියෙහි ලොල් තැනැත්තා."
"අක්ඛරය ","1. [නා.] අකුර; අක්ෂරය. <br>2. [නා.] වෙනස් නොවන තැන; නිවන."
"අක්ඛ සොණ්ඩයා ","[නා.] සූදුකාරයා; දූ කෙළියට ඇබ්බැහි වු තැනැත්තා."
"අක්ඛි මල ","[නා.] ඇසෙහි ඇති වන මල; කබ."
"අක්ත පත්‍රය ","[නා.] නිල හෝ පදවි පැවරීමේ දී පිරිනැමෙන ලියවිල්ල; තානාන්තර බලපත්‍රය."
"අක්තලය ","(පාරිභා.) [නා.] කෘමීන්ගේ අවසාන උදර දෛහ පිණ්ඩයේ පිටිතලය (=pygidium)."
"අක් දකිනවා ","[ක්‍රි.] කෙළවර දකිනවා; යම් කටයුත්තක් නිමාවට පැමිණෙනවා."
"අක් දලුව ","[නා.] මුදුනේ ඇති දලුව; අකුරුදල්ල."
"අක් දහර ","[නා.] කඳුල; අක්ෂි ධාර; අශ්‍රධාරාව."
"අක්දිවි ","[නා.ප්‍ර.] සූදුකාරයා; අක්ෂධූර්තයා."
"අක් දූව","[නා.] පස ඇට දමන සූදුව; කැටගැසීම."
"අක් දෙරිය ","[නා.] ගෙයක ඉදිරිපස වූ පිල් කෙළවර; ආලින්දය; නිසවත්ත."
"අක්නිය ","1. [නා.] නිය පොත්තේ කෙළවර; නිය අග. <br>2. බඩගින්න; කුසගින්න ජඨරාග්නිය."
"අක්පතළය, අක්පතළාව ","[නා.] ආහාර පිසීමට ගනු ලබන කට පළල් ලොකු මැටි බඳුන; ඇතිළිය; අප්පල්ල."
"අක්පය ","[නා.] පයෙහි අග කොටස; පා අග; පාදාන්තය."
"අක්පා මට්ටම ","(පාරිභා.) [නා.] ජම්බාර කනු බැස්සීමේ දී එහි පත්ල රඳවන මට්ටම."
"අක්පාව ","(පාරිභා.) [නා.] වේල්ලක යටිගං පැත්තෙහි පිහිටි පතුල් කෙළවර."
"අක්පිටුව ","අ. [නා.] පිටපැත්තේ කෙළවර; අග පිට පැත්ත."
"අක්පිල්ල ","[නා.] මාළු බාන බිළී පිත්තෙහි කෙළවර."
"අක්පෙනුම ","(පාරිභා.) [නා.] යම් දෙයක කෙළවරකින් බැලූ විට එය පෙනෙන ආකාරය."
