"පාලි වචනය","සිංහල පරිවර්තනය"
සිරා,"(ඉ) නහර."
සිරා,"(ඉ) නහරය."
සිරාජාල,"(න) නහර දැල."
සිරි,"(ඉ) ශ්‍රියාව, සිරිය, ශ්‍රී."
සිරිකණ්ඨ,"(පු) සිරිකත බොටුවේ ඇත්තේ, ඊශ්වරයා."
සිරිකර,"(පු) විෂ්ණු."
සිරිගබ්භ,"(පු) රාජාදීන්ගේ නිදන ගෙය."
සිරිගබ්හ,"(පු) යහන් ගබඩාව, සිරි යහන් ගැබ."
සිරිඝන,"(පු) සර්‍වඥයන් වහන්සේ."
සිරිද,"(පු) වෙසමුනි රජ."
"සිරින්ධර ","(3) භාග්‍යයෙන් යුත්; ශ්‍රීමත්."
සිරිපති,"(පු) ශ්‍රීපති, විෂ්ණු."
සිරිඵලි,"(ඉ) බේරුගස."
සිරිමන්තු,"(3) ධනවත්; භාග්‍ය සම්පන්න; ශ්‍රීමත්."
සිරිමා,"(පු) ශ්‍රියාවත්, ශ්‍රීමත්, සිරි ඇති."
සිරිය,"(පු) තොප්පිය, හිස්වැසුම, තලප්පාව."
සිරිවාස,"(පු) සරළ ද්‍ර‍ව."
සිරිවාස,"(පු) හොර ගසේ තෙල් හෝ ඉටි."
සිරිවිලාස,"(පු) ගර්‍වය, විභුතිය, අලංකාරය."
සිරිවිලාස,"(පු) ශ්‍රීමත් බව."
සිරිවිවාද,"(පු) සිරියහන් ගැබ පිළිබඳ විවාදය."
සිරිවෙඨ,"(පු) සරළද්‍ර‍ව."
සිරිව්හාන,"(න) ශ්‍රී දේවිය කැඳවීම."
සිරිස,"(පු) මහරි රුක."
සිරිසඤ්ඤ,"(පු) ලවඟ දේවකුසුම."
සිරිසංප,"(පු) සර්‍පයා, බිම හැසිරෙණ සත්ව වර්‍ගයක්, දලඹු විශේෂයක්."
සිරිංසප,"(පු) බඩගාන සතා; සර්පයා."
සිරිසයන,"(න) රාජකීය ඇඳ."
සිරිසයන,"(න) ශ්‍රී යහනය."
සිරී,"(ඉ) අලංකාරය; රූප සම්පත; ශ්‍රී කාන්තාව; සම්පත; සෞභාග්‍යය."
සිරී,"(ඉ) සොභාව, සම්පත්තිය, ශ්‍රීදෙවිය."
"සිරීධර ","(3) භාග්‍යයෙන් යුත්; ශ්‍රීමත්."
සිරීස,"(පු) මහරි ගස."
සිරොජාල,"(න) ස්ත්‍රීන්ගේ හිසේ දමන දැල."
සිරොධරා,"(ඉ) ග්‍රීවය, බෙල්ල."
සිරොමණි,"(ඉ) සිළුමිණ; හිසේ පළඳින මැණික."
සිරොමණි,"(පු) සිළුමිණ."
සිරොරුහ,"(පු) (න) හිසකෙස්."
සිරොරුහ,"(පු) කෙශය."
සිරොවෙඨන,"(න) තලප්පාව; හිස් වෙළුම."
සිරොවෙඨන,"(න) හිස්වෙළුම, නළල්පට, තලප්පාව."
සිල,"(න) ස්වභාවය, යහපත් පැවැත්ම, ශීලය."
සිල,"(භු) උඤ්ඡෙ, සෙවීමෙහි, සිලති, සොයයි."
සිල,"(භු) සමාධිම්හි, සමාධියෙහි, සීලති, සමාදන් වෙයි."
සිලා,"(ඉ) ගල."
සිලාගු,"(පු) පණුවුල්ලා."
සිලාඝ,"(භු) කත්ථනෙ, ගුණකීමෙහි, සිලාඝති, ස්තුති කරයි, ගුණ කියයි."
සිලාඝති,"(ක්‍රි) (d) (භු) සිලාස, කත්ථනෙ, ගුණ කීමෙහි+ති) ගුණ කියයි, ස්තුති කරයි."
සිලාඝති,"(සිලාඝ+අ) ස්තුති කෙරේ."
සිලාඝන,"(න) ස්තුති කිරීම."
සිලාඝන,"(න) ස්තුති කිරීම."
සිලාඝා,"(ඉ) ස්තුතිය."
සිලාචාර,"(පු) සීලයෙහි හැසිරීම."
සිලාත්ථම්භ,"(පු) ගල් කණුව."
සිලාපට්ට,"(පු) ගල් තලාව."
සිලාපාකාර,"(පු) ගල් තාප්පය."
සිලාපොක්ඛරණී,"(ඉ) ගල් පොකුණ."
සිලාභූ,"(පු) පනවුන්ලා නම් කොළ පැහැති සර්පයා."
සිලාමය,"(පු) ශෛලමය, ගලින්ම නිපන්."
"සිලාමය ","(3) ගලින් කල."
සිලිට්ඨ,"(න) සිළුටු, මට්ටම, ගොරොසු නොවන"
"සිලිට්ඨ ","(3) මට්ටම් වූ; රළු නොවූ; සිලිටු."
සිලිට්ඨතා,"(ඉ) මට්ටම් බව; මෘදු බව."
සිලිස,"(දි) ආලිඞ්ගනෙ, වැළඳ ගැන්මෙහි, සිලිස්සති, වැළඳ ගැනීමෙහි, සිලෙසො."
සිලිස,"(භු) දාහෙ, දැවීමෙහි, සිලෙසති, දවයි."
සිලුච්චය,"(පු) පර්‍වතය, පර්‍වත මුදුන, මස්තකය."
සිලුත්ත,"(පු) ගැරඬියා, ගැඩවිලා."
සිලුත්ත,"(පු) ගැරඬියා."
සිලෙස,"(චු) ආලිඞ්ගනෙ, වැළඳ ගැන්මෙහි, ඌනෙ, අඩුකිරීමෙහි, සිලෙසෙති, සිලෙසයති, වැළඳ ගනියි, අඩුකරයි."
සිලෙස,"(පු) අර්ථ දෙකක් දිය හැකි යෙදීම; තේරවිල්ල; ලාටුව."
සිලෙස,"(පු) එක්වීම, වැළඳ ගැන්ම, එනම් අලඞ්කාරය."
සිලෙසුම,"(පු) සෙම, සෙලස්මාව."
සිලෙසුම,"(පු) සෙම."
සිලොක,"(පු) කීර්තිය; ශ්ලෝකය."
සිලොක,"(පු) යසස, වර්‍ණ ගුණ කීර්ත්තනය, ශ්ලෝකය."
සිලොක,"(භු) රාසි කරණෙ, රැස්කිරීමෙහි, සිලොකයති, රැස්කෙරෙයි, සිලොකො."
සිව,"(න) උතුම්, ඉෂ්ට, නිවන, සැපය."
සිව,"(න) නිර්භය තැන; නිවන."
සිව,"(පු) ඊශ්වරයා."
සිව,"(පු) මහදෙවියා, ඊශ්වරයා."
"සිව ","(3) නිර්භය; ශාන්ත."
සිවවිජ්ජා,"(ඉ) සොහොනෙහි වාසය කරන විද්‍යාව, සිවල් රුක විද්‍යාව, සිවලුන්ගේ නාදයෙන් ඇතිවන ඵලාඵල කීමේ විද්‍යාව."
සිවා,"(ඉ) කැණහිලා, නරියා."
සිවා,"(ඉ) හිවලා."
සිවාටිකා,"(ඉ) පොත්ත, කුඩා හෙප්පුව."
සිවි,"(පු) එනම් රට."
සිවිකා,"(ඉ) දෝලාව; සිවි ගෙය."
සිවිකා,"(ඉ) සිවිගෙය, රන්සිවිගෙය."
සිවු,"(දි) ගමනෙ, සුස්සෙච, ගමනෙහිද වියලීමෙහිද සිබ්බති, යෙයි, වියලයි."
සිවු,"(දි) තන්තුසන්තානෙ, නූල් ගැළපීමෙහි විවීමෙහි සිබ්බති, හිවයි, වියයි."
සිස,"(චු) අසබ්බප්පයොගෙ, අසර්‍ව ප්‍රයොගයෙහි, සෙසෙති සෙසයති, ඉතුරු කරයි සෙසො."
සිස,"(භු) පීඩනෙ, පෙළීමෙහි, සිස්සති, පෙළයි."
සිංස,"(භු) ඉච්ඡායං, කැමති වීමෙහි, ආසිංසති, කැමති වෙයි."
සිංසක,"(න) ජලජ පැලෑටි වර්‍ගයක්."
සිංසපා,"(ඉ) ඇට්ටේරිය."
සිසි,"(භු) චුම්බනෙ, ඉඹීමෙහි."
සිසිර,"(න) එනම් සෘතුව, හිම, සීතලය."
"සිසිර ","(3) ශීතල වූ; සිසිල්; (පු) ශීත කාලය; සිසිර ඍතුව."
සිස්ස,"(පු) ගෝලයා; ශිෂ්‍යයා."
සිස්ස,"(පු) ශිෂ්‍යයා, ගෝලයා."
සිස්සති,"(ක්‍රි) (d) (චු) සිස, අසබ්බප්පයොගෙ, අසර්‍ව ප්‍රයොගයෙහි+ති) අවසෙස වෙයි, ඉතුරු වෙයි."
සිස්සති,"(සිය+ය) ඉතිරි වේ."
සිස්සන,"(ඉ) ඉතිරි වීම."
සීකර,"(පු) වාතයෙන් විසුරුවන ලද ජලය."
සීඝ,"(d) ත) දිත්තියං, බැබලීමෙහි, සීඝනොති, බබලයි."
සීඝ,"(න) ශීඝ්‍ර‍, වහා, හනික."
සීඝං,"(ක්‍රි.වි) ඉක්මනින්; වහා."
"සීඝ ","(3) ඉක්මන් වූ; ශීඝ්‍ර."
"සීඝගාමී ","(3) වහා ගමන් කරන."
සීඝතරං,"(ක්‍රි.වි) වඩා ඉක්මනින්."
සීඝවාහන,"(පු) සීඝ්‍ර‍ වාහනය, මොටෝරථාදිය."
සීඝසර,"(පු) වහා යන ජලධාරාව."
සීඝසීඝං,"(ක්‍රි.වි) වහ වහා."
සීත,"(න) ශීතල; සිහිල් ගතිය."
සීත,"(න) සීතල, සිසිල."
"සීත ","(3) ශීතල වූ; සිහිල් වූ."
"සීතභීරුක ","(3) ශීතට භය වූ."
සීතරංසි,"(පු) සිහිල් රැස් ඇත්තා, චන්ද්‍ර‍යා."
සීතල,"(න) සිහිල් බව."
"සීතල ","(3) ශීතල වූ; සිහිල් වූ."
සීතා,"(ඉ) නගුල් පාර (හාමින් ගිය)."
සීතා,"(ඉ) හීවිට."
"සීතා ලොලි","(න) නගුල් පහරින් ඇතිවන මඩ."
සීතාලුක,"(ති) සීතලට අවනතවන, සීතලට නැමෙන."
"සීතාලුක ","(3) ශීතට භය වූ."
සීති,"(න) රුවල."
සීතිභාව,"(පු) සංසිඳීම; සිහිල් බව."
සීතිභූත,"(පු) සිහිල්වූ, ශීතලවනලද."
"සීතිභූත ","(3) නිවීගිය; සංසිඳුණු."
සීතොදක,"(න) සිහිල් දිය."
සීදති,"(ක්‍රි) (d) (භු) සිද, සීදනෙසු, ගිලීමෙහි+ති) ගිලා බසියි."
සීදති,"(සද+අ) ගිලේ; යටපත් වේ."
සීදන,"(න) ගිලා බැසීම."
සීදන,"(න) ගිලා බැසීම."
සීදන්ත,"(න) එනම් සාගරය."
"සීදන්ත ","(3) ගිලා බසින; ගිලා බසිමින්."
"සීදමාන ","(3) ගිලා බසින; ගිලා බසිමින්."
